epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,8934.76,0.91373,0.61571,1.13485,0.74421,0.75342,0.75972,0.5597,0.77788,1.15186,0.95464,0.0016139,0.0016139,0.0016139
119,9014.39,0.92211,0.61369,1.15532,0.7795,0.76712,0.78815,0.49264,0.87543,0.96459,0.99913,0.0016106,0.0016106,0.0016106
120,9094.52,0.93528,0.60514,1.16619,0.81879,0.73973,0.79847,0.53293,0.90734,0.77497,1.00662,0.0016073,0.0016073,0.0016073
121,9173.98,0.94245,0.64512,1.16832,0.79779,0.76712,0.78269,0.58179,0.78511,0.88344,0.92924,0.001604,0.001604,0.001604
122,9253.47,0.92868,0.65394,1.16277,0.87592,0.76712,0.80396,0.56196,0.75182,1.49443,0.90714,0.0016007,0.0016007,0.0016007
123,9333.69,0.90452,0.61803,1.13804,0.84721,0.75964,0.80429,0.53668,0.83592,1.1933,0.92162,0.0015974,0.0015974,0.0015974
124,9413.31,0.8817,0.6226,1.12234,0.84824,0.76569,0.81663,0.54157,0.90334,0.86183,0.99028,0.0015941,0.0015941,0.0015941
125,9493.46,0.88567,0.60127,1.13341,0.88567,0.86301,0.90036,0.63175,0.78938,2.08533,0.90608,0.0015908,0.0015908,0.0015908
126,9573.26,0.92967,0.62489,1.15716,0.88399,0.72603,0.82388,0.60247,0.78016,1.3916,0.96906,0.0015875,0.0015875,0.0015875
127,9653.02,0.87381,0.60107,1.11265,0.8271,0.79452,0.81033,0.59356,0.79711,0.96264,0.94269,0.0015842,0.0015842,0.0015842
128,9732.32,0.90274,0.62737,1.1323,0.84106,0.72489,0.8381,0.54544,0.84438,1.28625,0.92417,0.0015809,0.0015809,0.0015809
129,9812.08,0.91374,0.62223,1.14481,0.80245,0.77903,0.78107,0.52018,0.87444,1.22397,0.96088,0.0015776,0.0015776,0.0015776
130,9892.17,0.88549,0.62731,1.12886,0.84285,0.76712,0.85399,0.61224,0.81803,0.93453,0.96603,0.0015743,0.0015743,0.0015743
131,9971.43,0.92489,0.6069,1.14219,0.88204,0.72603,0.79599,0.56646,0.77915,1.01936,0.96689,0.001571,0.001571,0.001571
132,10051.8,0.88207,0.6106,1.11809,0.84635,0.86301,0.88512,0.61723,0.768,0.65065,0.93107,0.0015677,0.0015677,0.0015677
133,10132.4,0.86768,0.6073,1.1257,0.89882,0.79452,0.84056,0.58232,0.77898,0.83922,0.95629,0.0015644,0.0015644,0.0015644
134,10211.7,0.8686,0.58533,1.11761,0.83884,0.80822,0.85951,0.58577,0.7825,0.89179,0.93763,0.0015611,0.0015611,0.0015611
